"deaths_continent","deaths_location","avg_population_density","avg_median_age","avg_aged_65_older","avg_aged_70_older","avg_life_expectancy","avg_hdi","avg_gdp_per_capita","avg_extreme_poverty","avg_handwashing_facilities","avg_cardiovasc_death_rate","avg_diabetes_prevalence","avg_total_cases","avg_total_deaths","avg_deaths_per_million","avg_excess_mortality","disparity_cluster"
"Europe","Bosnia and Herzegovina","68.50","42.50","16.57","10.71","77.40","0.78","11713.90","0.20","97.16","329.64","10.08","218274.88","9140.97","2826.93","16.57",1
"Asia","Armenia","102.93","35.70","11.23","7.57","75.09","0.78","8787.58","1.80","94.04","341.01","7.11","263490.28","5264.44","1893.36","29.25",1
"Europe","Moldova","123.66","37.60","10.86","6.96","71.90","0.75","5189.97","0.20","86.98","408.50","5.72","299773.32","6834.29","2088.09","14.32",1
"Asia","Thailand","135.13","40.10","11.37","6.89","77.15","0.78","16277.67","0.10","90.67","109.86","7.04","2017980.32","15034.81","209.70","4.59",1
"North America","Costa Rica","96.08","33.60","9.47","5.69","80.28","0.81","15525.00","1.30","83.84","137.97","8.78","411896.50","4409.00","851.02","5.87",1
"North America","El Salvador","307.81","27.60","8.27","5.42","73.32","0.67","7292.46","2.20","90.65","167.30","8.87","10162.00","273.80","43.21","-3.13",1
"Africa","Tunisia","74.23","32.70","8.00","5.08","76.70","0.74","10849.30","2.00","78.69","318.99","8.52","337503.75","11227.50","908.66","7.97",2
"Asia","Kazakhstan","6.68","30.60","6.99","4.63","73.60","0.83","24055.59","0.10","99.00","466.79","7.11","757984.91","10768.76","555.15","19.91",2
"South America","Ecuador","66.94","28.10","7.10","4.46","77.01","0.76","10581.94","3.60","80.64","140.45","5.55","553560.26","24662.03","1370.04","47.39",2
"North America","Dominican Republic","222.87","27.60","6.98","4.42","74.08","0.76","14600.86","1.60","55.18","266.65","8.20","332729.91","3179.41","283.15","5.58",2
"South America","Bolivia","10.20","25.40","6.70","4.39","71.51","0.72","6885.83","7.10","25.38","204.30","6.89","286801.65","11103.39","908.32","43.24",2
"North America","Mexico","66.44","29.30","6.86","4.32","75.05","0.78","17336.47","2.50","87.85","152.78","13.06","3462625.88","224273.51","1758.95","35.51",3
"South America","Colombia","44.22","32.20","7.65","4.31","77.29","0.77","13254.95","4.50","65.39","124.24","7.44","3955842.04","94277.16","1817.43","24.70",3
"Africa","Algeria","17.35","29.10","6.21","3.86","76.88","0.75","13913.84","0.50","83.74","278.36","6.73","39179.80","1354.00","30.15","14.12",3
"South America","Paraguay","17.14","26.50","6.38","3.83","74.25","0.73","8827.01","1.70","79.60","199.13","8.27","394486.42","11338.89","1672.22","21.40",3
"Africa","South Africa","46.75","27.30","5.34","3.05","64.13","0.71","12294.88","18.90","43.99","200.38","5.52","2279256.13","62943.54","1050.92","16.71",3
"North America","Guatemala","157.83","22.90","4.69","3.02","74.30","0.66","7423.81","8.70","76.67","155.90","10.18","488246.39","10842.40","607.62","16.34",4
"Africa","Egypt","98.00","25.30","5.16","2.89","71.99","0.71","10550.21","1.30","89.83","525.43","17.31","295946.44","15359.59","138.39","20.09",4
"Asia","Kyrgyzstan","32.33","26.30","4.49","2.88","71.45","0.70","3393.47","1.40","89.22","436.36","7.11","138559.71","2117.14","319.30","16.73",4
"Asia","Mongolia","1.98","28.60","4.03","2.42","69.87","0.74","11840.85","0.50","71.18","460.04","4.82","618930.82","1465.86","431.34","-1.93",4
"Asia","Tajikistan","64.28","23.30","3.47","2.16","71.10","0.67","2896.91","4.80","72.70","427.70","7.11","12865.55","92.65","9.31","26.03",4
